8,12,23,25,29,43,46,13
8,12,16,30,38,48,50,14
4,29,30,37,38,43,44,15
2,9,10,22,31,35,49,30
1,4,20,33,44,45,49,47
9,21,30,33,38,39,46,48
5,13,14,21,36,37,43,40
5,7,14,23,24,46,47,11
1,4,9,15,18,24,31,43
9,15,35,41,42,45,46,43
6,8,13,27,41,46,47,39
11,17,29,33,39,40,42,48
6,18,21,30,31,34,38,1
3,4,7,19,44,48,49,8
4,6,18,27,28,30,40,13
7,9,19,20,26,32,35,49
5,7,14,21,26,34,49,31
19,20,23,31,37,46,48,50
2,9,11,29,33,39,44,15
2,8,20,21,29,34,37,41
8,27,30,44,46,47,50,32
1,4,8,10,12,17,41,19
3,10,13,19,21,45,49,12
4,6,12,30,32,33,34,29
4,5,9,19,28,34,44,8
7,12,16,26,40,45,49,20
4,6,9,15,22,24,28,44
1,7,9,28,38,48,50,13
8,9,37,38,40,43,49,28
2,11,22,25,32,40,44,27
1,5,6,24,27,28,32,38
4,15,16,17,35,46,50,13
6,12,19,27,30,32,44,18
7,18,22,26,35,41,50,11
2,9,29,30,31,35,37,19
5,8,9,28,32,48,50,40
1,21,34,38,39,40,46,24
1,2,5,11,20,30,39,27
1,2,16,32,44,46,50,6
3,22,37,39,41,43,44,20
9,17,22,33,36,45,46,41
9,21,26,28,30,37,44,31
18,24,25,30,31,33,48,27
8,16,19,22,28,31,38,25
7,10,11,24,39,43,48,23
17,20,27,29,37,39,41,10
7,22,26,35,46,47,49,19
5,11,15,18,20,24,46,37
3,9,21,35,44,47,48,23
17,18,27,38,39,40,47,24
9,20,21,22,25,26,37,3
3,4,21,33,38,44,45,32
11,12,22,33,37,48,49,41
8,14,31,36,39,46,47,20
2,3,6,13,37,42,46,19
3,12,17,22,29,31,48,8
1,3,22,30,31,37,40,6
1,16,24,28,30,31,47,25
1,8,15,16,32,39,40,31
5,12,15,23,26,38,41,45
9,11,14,21,22,24,41,10
7,30,32,40,47,48,50,16
3,4,10,11,26,28,40,31
3,12,25,36,37,42,49,9
8,9,19,26,27,31,46,48
2,15,21,29,40,47,50,35
3,9,10,14,15,19,20,25
5,9,10,25,27,29,38,31
5,7,22,29,32,37,39,3
9,16,17,18,21,22,27,31
7,14,15,35,36,49,50,11
2,9,10,35,41,42,47,40
21,27,30,32,33,36,46,38
4,7,14,37,48,49,50,28
14,17,20,34,38,45,49,5
21,24,26,31,36,48,49,39
2,27,30,39,44,45,49,17
2,11,14,21,23,34,36,5
5,6,36,39,40,46,48,34
10,13,14,24,28,47,48,12
8,18,20,24,31,37,39,34
