5,13,14,16,17,29,49,18
7,21,23,25,31,34,45,37
6,7,11,21,23,27,41,49
2,9,15,23,26,30,41,13
5,8,15,20,25,26,47,22
1,7,13,14,22,42,48,47
11,17,24,34,41,42,48,21
2,12,31,34,39,48,49,1
9,10,16,23,24,39,49,7
2,3,4,8,9,20,30,45
10,15,16,17,19,27,38,9
18,31,38,45,46,47,48,16
8,9,12,20,22,27,30,28
3,9,15,16,19,45,48,42
1,3,5,10,16,27,43,14
3,12,21,34,37,38,41,22
2,4,18,19,20,39,44,11
3,5,7,11,13,20,29,30
12,17,22,27,28,29,35,43
2,9,18,33,36,40,49,38
9,11,23,33,35,36,42,6
8,11,14,17,26,30,36,48
6,8,12,19,20,25,49,18
1,4,5,22,25,32,34,27
1,11,20,32,41,42,44,47
3,5,17,23,28,43,46,29
3,10,16,28,31,38,47,20
18,23,28,37,44,45,47,9
12,25,27,29,34,44,45,7
2,11,17,18,22,25,39,3
7,10,13,19,24,31,41,1
4,13,23,30,31,37,43,32
11,22,28,33,39,43,47,23
1,11,15,16,20,29,39,32
8,9,11,17,37,39,41,19
6,14,16,22,30,42,45,35
1,8,9,22,29,30,32,17
7,18,29,30,41,45,46,40
1,12,18,19,21,24,41,15
7,12,15,23,35,43,49,19
13,24,29,31,35,36,42,37
13,18,20,26,32,35,47,12
7,25,26,28,32,36,37,2
13,17,24,32,33,44,45,48
5,14,22,23,35,40,49,43
6,19,24,25,36,37,39,17
3,8,9,24,28,31,44,32
7,8,13,19,23,32,40,9
9,18,25,30,39,40,43,5
1,8,16,19,26,34,41,10
1,3,13,15,28,36,49,14
