Draw Date,Regular Numbers,,,,,,,Bonus
28th December 2018,5,13,14,16,17,29,49,18
21st December 2018,7,21,23,25,31,34,45,37
14th December 2018,6,7,11,21,23,27,41,49
7th December 2018,2,9,15,23,26,30,41,13
30th November 2018,5,8,15,20,25,26,47,22
23rd November 2018,1,7,13,14,22,42,48,47
16th November 2018,11,17,24,34,41,42,48,21
9th November 2018,2,12,31,34,39,48,49,1
2nd November 2018,9,10,16,23,24,39,49,7
26th October 2018,2,3,4,8,9,20,30,45
19th October 2018,10,15,16,17,19,27,38,9
12th October 2018,18,31,38,45,46,47,48,16
5th October 2018,8,9,12,20,22,27,30,28
21st September 2018,3,9,15,16,19,45,48,42
14th September 2018,1,3,5,10,16,27,43,14
7th September 2018,3,12,21,34,37,38,41,22
31st August 2018,2,4,18,19,20,39,44,11
24th August 2018,3,5,7,11,13,20,29,30
17th August 2018,12,17,22,27,28,29,35,43
10th August 2018,2,9,18,33,36,40,49,38
3rd August 2018,9,11,23,33,35,36,42,6
27th July 2018,8,11,14,17,26,30,36,48
20th July 2018,6,8,12,19,20,25,49,18
13th July 2018,1,4,5,22,25,32,34,27
6th July 2018,1,11,20,32,41,42,44,47
29th June 2018,3,5,17,23,28,43,46,29
22nd June 2018,3,10,16,28,31,38,47,20
15th June 2018,18,23,28,37,44,45,47,9
8th June 2018,12,25,27,29,34,44,45,7
1st June 2018,2,11,17,18,22,25,39,3
25th May 2018,7,10,13,19,24,31,41,1
18th May 2018,4,13,23,30,31,37,43,32
11th May 2018,11,22,28,33,39,43,47,23
4th May 2018,1,11,15,16,20,29,39,32
27th April 2018,8,9,11,17,37,39,41,19
20th April 2018,6,14,16,22,30,42,45,35
13th April 2018,1,8,9,22,29,30,32,17
6th April 2018,7,18,29,30,41,45,46,40
30th March 2018,1,12,18,19,21,24,41,15
23rd March 2018,7,12,15,23,35,43,49,19
16th March 2018,13,24,29,31,35,36,42,37
9th March 2018,13,18,20,26,32,35,47,12
2nd March 2018,7,25,26,28,32,36,37,2
23rd February 2018,13,17,24,32,33,44,45,48
16th February 2018,5,14,22,23,35,40,49,43
9th February 2018,6,19,24,25,36,37,39,17
2nd February 2018,3,8,9,24,28,31,44,32
26th January 2018,7,8,13,19,23,32,40,9
19th January 2018,9,18,25,30,39,40,43,5
12th January 2018,1,8,16,19,26,34,41,10
5th January 2018,1,3,13,15,28,36,49,14
