6,22,25,42,43,45,48,47
12,13,14,31,35,39,50,48
2,18,20,22,34,43,48,7
1,2,3,14,17,19,41,30
4,9,14,18,24,30,45,3
1,7,8,19,32,38,39,47
3,6,7,10,25,30,37,9
2,10,12,18,19,21,34,33
3,5,11,17,26,42,49,27
9,12,13,22,25,35,47,24
5,23,34,35,46,47,50,10
4,7,14,18,26,40,42,12
4,8,25,27,32,33,34,16
2,23,27,34,43,46,49,44
12,17,29,30,38,40,50,16
3,6,19,23,26,28,43,46
1,9,25,35,41,43,50,40
12,14,23,25,39,40,44,24
2,24,27,31,40,43,46,13
3,19,33,36,39,40,42,44
7,23,28,31,32,39,40,2
10,18,21,22,37,40,46,25
9,14,36,37,38,40,48,26
10,12,13,26,29,39,46,23
15,17,21,24,28,32,43,27
9,10,11,20,24,31,48,36
2,13,24,34,39,40,46,23
9,10,14,32,35,36,46,47
1,2,15,18,29,32,36,9
16,22,28,30,41,46,47,10
8,17,21,31,34,37,39,7
5,8,12,23,39,41,48,50
3,11,22,26,29,46,48,28
9,13,14,19,37,43,50,4
5,20,26,33,35,46,48,17
1,2,9,21,32,33,43,36
4,10,28,36,40,44,47,19
16,19,25,26,27,33,45,38
7,16,19,33,36,48,49,5
4,5,15,18,22,28,32,19
7,14,17,18,19,23,41,16
3,8,9,15,21,27,31,33
1,9,19,34,37,39,49,6
6,9,17,19,31,34,46,4
4,7,12,18,29,47,49,48
8,11,15,16,26,29,40,37
7,12,14,18,46,47,49,19
12,29,33,35,38,41,46,13
1,11,13,14,25,36,47,50
8,19,22,41,42,46,47,10
3,9,17,19,20,44,50,28
2,4,5,22,32,40,50,43
1,10,12,21,30,39,40,38
11,17,18,25,36,41,50,34
8,14,16,17,19,22,24,23
6,13,17,20,28,36,44,31
2,16,17,21,38,43,45,42
6,13,23,27,35,44,50,37
4,9,21,22,27,31,34,5
12,26,30,31,35,39,45,22
5,6,20,29,42,44,47,14
10,35,38,40,45,47,48,23
2,22,37,38,39,42,47,30
6,15,18,19,20,27,28,24
3,6,11,18,19,28,41,26
6,11,22,24,27,29,33,31
8,9,19,32,37,46,48,45
3,10,15,31,35,38,42,22
13,14,23,30,34,36,42,33
1,6,10,27,42,45,50,43
1,6,18,21,30,32,37,35
3,5,7,19,32,34,50,25
1,2,14,15,21,26,29,4
14,24,34,39,43,48,50,20
7,10,18,29,38,43,50,41
7,17,32,34,39,45,47,42
3,7,16,18,27,32,37,17
14,16,20,26,33,36,48,1
5,7,12,18,26,29,46,25
3,7,12,17,23,38,40,27
5,7,12,22,28,43,47,1
10,12,13,18,25,26,37,39
2,4,14,18,24,46,47,23
5,6,28,36,40,46,50,27
2,4,17,28,35,44,46,5
3,13,26,27,28,36,45,50
2,3,8,11,12,37,49,36
19,26,28,36,40,42,48,6
1,10,12,30,33,34,36,4
16,29,32,34,38,39,47,18
5,15,19,22,37,46,47,1
9,14,24,26,29,39,49,42
3,7,8,10,34,43,47,16
11,13,18,20,23,30,40,37
10,14,21,26,28,36,50,41
2,15,25,28,30,35,38,31
2,4,7,10,14,21,34,26
1,3,24,25,27,36,47,12
4,5,31,39,42,45,50,11
7,8,13,20,25,26,48,36
